VENDOR_ID,CLIENT,VENDOR_GSTIN,VENDOR_NAME,IDENTIFIER_TEXT,DOCUMENT_TEXT,MATCH_SCORE
SWIGGY_1125,SWIGGY,33AAPCA5954P1ZY,APOLLO PHARMACIES LIMITED,APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY,APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY APOLLO PHARMACIES LIMITED 33AAPCA5954P1ZY,1
SWIGGY_1126,SWIGGY,19AAPCA5954P1ZO,APOLLO PHARMACIES LIMITED,APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO,APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO APOLLO PHARMACIES LIMITED 19AAPCA5954P1ZO,1
SWIGGY_1127,SWIGGY,06AAPCA5954P1ZV,APOLLO PHARMACIES LIMITED - GURGAON,APOLLO PHARMACIES LIMITED - GURGAON 06AAPCA5954P1ZV APOLLO PHARMACIES LIMITED - GURGAON 06AAPCA5954P1ZV,APOLLO PHARMACIES LIMITED - GURGAON 06AAPCA5954P1ZV APOLLO PHARMACIES LIMITED - GURGAON 06AAPCA5954P1ZV,1
SWIGGY_1128,SWIGGY,37AJRPN4499C1ZM,APOORV ENTERPRISES,APOORV ENTERPRISES 37AJRPN4499C1ZM APOORV ENTERPRISES 37AJRPN4499C1ZM APOORV ENTERPRISES 37AJRPN4499C1ZM APOORV ENTERPRISES 37AJRPN4499C1ZM,APOORV ENTERPRISES 37AJRPN4499C1ZM APOORV ENTERPRISES 37AJRPN4499C1ZM APOORV ENTERPRISES 37AJRPN4499C1ZM APOORV ENTERPRISES 37AJRPN4499C1ZM,1
SWIGGY_1129,SWIGGY,06AFWPB1741C1ZS,AQUA CORPORATE SERVICES,AQUA CORPORATE SERVICES 06AFWPB1741C1ZS AQUA CORPORATE SERVICES 06AFWPB1741C1ZS AQUA CORPORATE SERVICES 06AFWPB1741C1ZS AQUA CORPORATE SERVICES 06AFWPB1741C1ZS,AQUA CORPORATE SERVICES 06AFWPB1741C1ZS AQUA CORPORATE SERVICES 06AFWPB1741C1ZS AQUA CORPORATE SERVICES 06AFWPB1741C1ZS AQUA CORPORATE SERVICES 06AFWPB1741C1ZS,1
SWIGGY_1130,SWIGGY,33AAYFA4050C1ZP,AR ENTERPRISES,AR ENTERPRISES 33AAYFA4050C1ZP AR ENTERPRISES 33AAYFA4050C1ZP AR ENTERPRISES 33AAYFA4050C1ZP AR ENTERPRISES 33AAYFA4050C1ZP,AR ENTERPRISES 33AAYFA4050C1ZP AR ENTERPRISES 33AAYFA4050C1ZP AR ENTERPRISES 33AAYFA4050C1ZP AR ENTERPRISES 33AAYFA4050C1ZP,1
SWIGGY_1131,SWIGGY,33ABNFA1636Q1Z3,ARA TRADERS,ARA TRADERS 33ABNFA1636Q1Z3 ARA TRADERS 33ABNFA1636Q1Z3 ARA TRADERS 33ABNFA1636Q1Z3 ARA TRADERS 33ABNFA1636Q1Z3,ARA TRADERS 33ABNFA1636Q1Z3 ARA TRADERS 33ABNFA1636Q1Z3 ARA TRADERS 33ABNFA1636Q1Z3 ARA TRADERS 33ABNFA1636Q1Z3,1
SWIGGY_1132,SWIGGY,07AAHCA3923E1ZZ,ARAKU ORIGINALS PRIVATE LIMITED,ARAKU ORIGINALS PRIVATE LIMITED 07AAHCA3923E1ZZ ARAKU ORIGINALS PRIVATE LIMITED 07AAHCA3923E1ZZ,ARAKU ORIGINALS PRIVATE LIMITED 07AAHCA3923E1ZZ ARAKU ORIGINALS PRIVATE LIMITED 07AAHCA3923E1ZZ,1
SWIGGY_1133,SWIGGY,07AKHPM9014H1Z3,ARANCIA TRADERS,ARANCIA TRADERS 07AKHPM9014H1Z3 ARANCIA TRADERS 07AKHPM9014H1Z3 ARANCIA TRADERS 07AKHPM9014H1Z3 ARANCIA TRADERS 07AKHPM9014H1Z3,ARANCIA TRADERS 07AKHPM9014H1Z3 ARANCIA TRADERS 07AKHPM9014H1Z3 ARANCIA TRADERS 07AKHPM9014H1Z3 ARANCIA TRADERS 07AKHPM9014H1Z3,1
SWIGGY_1134,SWIGGY,33ABLFA1098E1ZM,ARC FOODS AND BEVERAGES,ARC FOODS AND BEVERAGES 33ABLFA1098E1ZM ARC FOODS AND BEVERAGES 33ABLFA1098E1ZM,ARC FOODS AND BEVERAGES 33ABLFA1098E1ZM ARC FOODS AND BEVERAGES 33ABLFA1098E1ZM,1
SWIGGY_1135,SWIGGY,08BQKPA8061N2ZE,ARCHANA TRADERS,ARCHANA TRADERS 08BQKPA8061N2ZE ARCHANA TRADERS 08BQKPA8061N2ZE ARCHANA TRADERS 08BQKPA8061N2ZE ARCHANA TRADERS 08BQKPA8061N2ZE,ARCHANA TRADERS 08BQKPA8061N2ZE ARCHANA TRADERS 08BQKPA8061N2ZE ARCHANA TRADERS 08BQKPA8061N2ZE ARCHANA TRADERS 08BQKPA8061N2ZE,1
SWIGGY_1136,SWIGGY,07AAPCA1635B1Z0,ARENDELLE PRIVATE LIMITED,ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0 ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0 ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0 ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0,ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0 ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0 ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0 ARENDELLE PRIVATE LIMITED 07AAPCA1635B1Z0,1
